Putusan,Nomor,Bulan,Pemohon,Termohon,Tingkat proses,Klasifikasi,Tahun,Amar,Amar Lainnya atau catatan
MAHKAMAH AGUNG,4144 B/PK/PJK/2023,10,PT TIRA ANDALAN STEEL,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,4114 B/PK/PJK/2023,10,DIREKTUR JENDERAL PAJAK,PT SCOMI OILTOOLS,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1835 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT ECS INDO JAYA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1817 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT YAKULT INDONESIA PERSADA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1816 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT YAKULT INDONESIA PERSADA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1907 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT JAVA PARADISE ISLAND,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1975 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT AUTOCOMP SYSTEMS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,6101/B/PK/Pjk/2022,12,DIREKTUR JENDERAL PAJAK, T NUSA HALMAHERA MINERALS,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1954 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SANSYU PRECISION BATAM,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1953/B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT AUTOCOMP SYSTEMS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
